author,title,description,url,source,image,category,language,country,published_at,topic
,China's premier slams trade tensions as EV exports are hit by tariffs,"Open markets and green technologies are vital for stabilizing global growth, China's premier said Tuesday, while criticizing trade tensions as he opened a conference in northeastern China.Premier…",https://japantoday.com/category/business/china%27s-premier-slams-trade-tensions-as-ev-exports-are-hit-by-tariffs,japantoday,,general,en,us,2024-06-25T22:04:41+00:00,technology
,Utilities Down on Rotation Back to Tech -- Utilities Roundup,"(marketscreener.com) Shares of power producers fell as traders rotated into higher-risk areas of the market, such as technology. Paladin Energy's proposed $833 million acquisition of Canada's Fission Uranium will bring in CGN, one of China's top nuclear-power companies, as a new customer and shareholder, said analysts at brokerage Macquarie. Write to Rob...https://www.marketscreener.com/quote/stock/PALADIN-ENERGY-LTD-46922997/news/Utilities-Down-on-Rotation-Back-to-Tech-Utilities-Roundup-47218182/?utm_medium=RSS&utm_content=20240625",https://www.marketscreener.com/quote/stock/PALADIN-ENERGY-LTD-46922997/news/Utilities-Down-on-Rotation-Back-to-Tech-Utilities-Roundup-47218182/?utm_medium=RSS&utm_content=20240625,4-traders,,general,en,us,2024-06-25T21:49:46+00:00,technology
,Tech Up as Nvidia Rebounds -- Tech Roundup,"(marketscreener.com) Shares of technology companies rose as Nvidia bounced back from a sharp selloff. Shares of the maker of artificial-intelligence oriented chips rose by more than 5%, following a selloff that brought it more than 13% below its recent record high. Shares of Arm Holdings surged as AI enthusiasm built. Japanese tech investment firm Softbank...https://www.marketscreener.com/quote/stock/NVIDIA-CORPORATION-57355629/news/Tech-Up-as-Nvidia-Rebounds-Tech-Roundup-47218175/?utm_medium=RSS&utm_content=20240625",https://www.marketscreener.com/quote/stock/NVIDIA-CORPORATION-57355629/news/Tech-Up-as-Nvidia-Rebounds-Tech-Roundup-47218175/?utm_medium=RSS&utm_content=20240625,4-traders,,general,en,us,2024-06-25T21:49:14+00:00,technology
GlobeNewswire,Lifeist Wellness Inc. Signs Agreements with Simply Solventless Concentrates Ltd.,"Lifeist enters into services agreement with Simply Solventless to provide operational support to CannMart and share purchase agreement to sell CannMart TORONTO, June 25, 2024 (GLOBE NEWSWIRE) &#8212; Lifeist Wellness Inc. (“Lifeist” or the “Company”) (TSXV: LFST) (FRANKFURT: M5B) (OTCMKTS: LFSWF), a health-tech company that leverages advancements in science and technology to build breakthrough ventures [&#8230;]",https://financialpost.com/globe-newswire/lifeist-wellness-inc-signs-agreements-with-simply-solventless-concentrates-ltd,Financial Post | Canada Business News,,business,en,us,2024-06-25T21:30:23+00:00,technology
,Lifeist Wellness Inc. Signs Agreements with Simply Solventless Concentrates Ltd.,"(marketscreener.com) Lifeist enters into services agreement with Simply Solventless to provide operational support to CannMart and share purchase agreement to sell CannMartTORONTO, June 25, 2024 -- Lifeist Wellness Inc. , a health-tech company that leverages advancements in science and technology to build breakthrough ventures that transform human wellness, is...https://www.marketscreener.com/quote/stock/LIFEIST-WELLNESS-INC-49478428/news/Lifeist-Wellness-Inc-Signs-Agreements-with-Simply-Solventless-Concentrates-Ltd-47213253/?utm_medium=RSS&utm_content=20240625",https://www.marketscreener.com/quote/stock/LIFEIST-WELLNESS-INC-49478428/news/Lifeist-Wellness-Inc-Signs-Agreements-with-Simply-Solventless-Concentrates-Ltd-47213253/?utm_medium=RSS&utm_content=20240625,4-traders,,general,en,us,2024-06-25T21:30:06+00:00,technology
MICHAEL LIEDTKE-AP Technology Writer,GM brings in new CEO to steer troubled Cruise robotaxi service while Waymo ramps up in San Francisco,General Motors on Tuesday named a veteran technology executive with roots in the video game industry to steer its troubledThe post GM brings in new CEO to steer troubled Cruise robotaxi service while Waymo ramps up in San Francisco appeared first on The Business Journal.,https://thebusinessjournal.com/gm-brings-in-new-ceo-to-steer-troubled-cruise-robotaxi-service-while-waymo-ramps-up-in-san-francisco/?utm_source=rss&utm_medium=rss&utm_campaign=gm-brings-in-new-ceo-to-steer-troubled-cruise-robotaxi-service-while-waymo-ramps-up-in-san-francisco,thebusinessjournal,,general,en,us,2024-06-25T21:25:58+00:00,technology
mbaker@thebtngroup.com (Michael B. Baker),SITA Names New Americas President,Air transport technology provider SITA has appointed former IBM executive Shawn Gregor as president of the Americas.&#160; &#160;,https://www.businesstravelnews.com/Transportation/Air/SITA-Names-New-Americas-President?utm_source=website&utm_medium=RSS&utm_campaign=btnrss2018,Business Travel News,,business,en,us,2024-06-25T21:25:15+00:00,technology
,NOV : Performance Center optimizes drilling automation,"(marketscreener.com) News NOV's Performance Center optimizes drilling automation Proactive support service combined with automation technologies delivers continuous operational improvements. Jun 24, 2024 Automating repetitive...https://www.marketscreener.com/quote/stock/NOV-INC-13765/news/NOV-Performance-Center-optimizes-drilling-automation-47207951/?utm_medium=RSS&utm_content=20240625",https://www.marketscreener.com/quote/stock/NOV-INC-13765/news/NOV-Performance-Center-optimizes-drilling-automation-47207951/?utm_medium=RSS&utm_content=20240625,4-traders,,general,en,us,2024-06-25T21:21:14+00:00,technology
Neil Pierson,Xactus hires Joseph Peterson as CFO,"Xactus, a mortgage technology firm that specializes in borrower verifications, announced Joseph Peterson as its new chief financial officer.",https://www.housingwire.com/articles/xactus-hires-joseph-peterson-as-cfo/,housingwire,,general,en,us,2024-06-25T21:09:57+00:00,technology
,Landis+Gyr : and Stadtwerke München extend partnership for intelligent heat meters,"(marketscreener.com) The partnership marks a significant step forward in leveraging cutting-edge technology to create a smarter and more energy-efficient community. Nuremberg , June 24th, 2024. Stadtwerke M&uuml;nchen and Landis+Gyr sign a contract to supply intelligent heat meters and their corresponding...https://www.marketscreener.com/quote/stock/LANDIS-GYR-GROUP-AG-37186614/news/Landis-Gyr-and-Stadtwerke-Munchen-extend-partnership-for-intelligent-heat-meters-47199760/?utm_medium=RSS&utm_content=20240625",https://www.marketscreener.com/quote/stock/LANDIS-GYR-GROUP-AG-37186614/news/Landis-Gyr-and-Stadtwerke-Munchen-extend-partnership-for-intelligent-heat-meters-47199760/?utm_medium=RSS&utm_content=20240625,4-traders,,general,en,us,2024-06-25T21:08:09+00:00,technology
AP News,GM brings in new CEO to steer troubled Cruise robotaxi service while Waymo ramps up in San Francisco,"General Motors has named a veteran technology executive with roots in the video game industry to steer its troubled robotaxi service Cruise. The announcement comes as Cruise tries to recover from a gruesome collision that triggered the suspension of its California license. Marc Whitten, will take over as Cruise’s chief executive nearly nine months after one of the service’s robotaxis dragged a jaywalking pedestrian — who had just been struck by a vehicle driven by a human — across a darkened street in San Francisco. He was one of the key engineers behind the Xbox video game console...",https://www.mymotherlode.com/news/state/3381282/gm-brings-in-new-ceo-to-steer-troubled-cruise-robotaxi-service-while-waymo-ramps-up-in-san-francisco.html,mymotherlode,,general,en,us,2024-06-25T21:08:06+00:00,technology
Jerry Petersen,DHS Releases Report on Impact of AI on CBRN Threats,"Advances in artificial intelligence technologies may increase the risk of malicious actors planning or carrying out chemical, biological, radiological or nuclear attacks against the U.S., according to a recent report from the Department of Homeland Security. Mandated by the Executive Order on the Safe, Secure, and Trustworthy Development and Use of Artificial Intelligence, the report investigates the possible impacts of AI on CBRN threats, DHS said Monday. Submitted to President Joe Biden in late April, the report notes that AI, when combined with limitations in U.S. biological and chemical...",https://executivegov.com/2024/06/dhs-releases-report-on-impact-of-ai-on-cbrn-threats/,executivegov,,general,en,us,2024-06-25T21:06:06+00:00,technology
Jerry Petersen,"New Senate Bill Calls for Public Education Campaign to Increase AI Trust, Awareness","Sens. Todd Young, R-Ind., and Brian Schatz, D-Hawaii, have introduced legislation with the aim of raising awareness about artificial intelligence and boosting public trust in the technology. The office of Sen. Young said Thursday that the Artificial Intelligence Public Awareness and Education Campaign Act calls on the secretary of the Department of Commerce to conduct a public awareness and education campaign that will provide information about the prevalence of AI in the lives of individuals, the rights that individuals have with regard to AI, best practices when it comes to detecting and...",https://executivegov.com/2024/06/new-senate-bill-calls-for-public-education-campaign-to-increase-ai-trust-awareness/,executivegov,,general,en,us,2024-06-25T21:06:06+00:00,technology
Elodie Collins,University Researchers Receive Funding to Support NNSA’s Nuclear Nonproliferation Research,"The National Nuclear Security Administration has awarded funding of $50 million to two university consortia to support nuclear security and nonproliferation research.&#160; The Enabling Capabilities in Technology Consortium led by the University of Tennessee, Knoxville, and the Consortium for Enabling Technologies and Innovation led by the Georgia Institute of Technology will each receive $5 million annually from the Office of Defense Nuclear Nonproliferation for the next five years.&#160; According to NNSA’s Nonproliferation Chief Jeff Chamberlin, the goal of the program is to develop...",https://executivegov.com/2024/06/university-researchers-receive-funding-to-support-nnsas-nuclear-nonproliferation-research/,executivegov,,general,en,us,2024-06-25T21:06:06+00:00,technology
Naomi Cooper,"DCSA Posts Update on NBIS Recovery Plan, Digital Transformation Roadmap","The Defense Counterintelligence and Security Agency is working with other Department of Defense agencies to implement a coordinated recovery plan for the National Background Investigation Services, or NBIS, program to realign the system&#8217;s development with Trusted Workforce 2.0 requirements. DCSA said Monday it is finalizing a digital transformation roadmap for the NBIS program outlining efforts to modernize the Defense Information System for Security and other existing applications, accelerate technology delivery and reduce risks. The NBIS program will continue its outreach and...",https://executivegov.com/2024/06/dcsa-posts-update-on-nbis-recovery-plan-digital-transformation-roadmap/,executivegov,,general,en,us,2024-06-25T21:06:06+00:00,technology
Kristen Smith,VA Posts Enterprise Learning Management Solution RFP,"The Department of Veterans Affairs’ Technology Acquisition Center is soliciting proposals to provide an Enterprise Learning Management Solution with the necessary software, hardware, licenses and services to support enterprise-wide talent development and learning management activities. The ELMS should be a commercial-off-the-shelf solution running in a cloud environment with at least a moderate-level authorization from the Federal Risk and Authorization Management Program, according to a performance work statement — or PWS — posted on SAM.gov. Interested contractors have until Monday to...",https://executivegov.com/2024/06/va-posts-enterprise-learning-management-solution-rfp/,executivegov,,general,en,us,2024-06-25T21:06:06+00:00,technology
Branson@executivemosaic.com,Pentagon Publishes New IT Strategy,"The Department of Defense has released a new strategy to continue progressive change in the digital workforce. The Fulcrum: DOD Information Technology Advancement Strategy will help the department provide capabilities oriented with warfighting mission goals.&#160;The strategy emphasizes quality user experience and infrastructure growth to tackle enhanced operation requirements, the DOD said Tuesday. Deputy Secretary of Defense&#160;Kathleen Hicks, a&#160;Wash100 Award winner, said, “To succeed, today&#8217;s warfighter requires information technology that is compatible with the complex...",https://executivegov.com/2024/06/pentagon-publishes-new-it-strategy/,executivegov,,general,en,us,2024-06-25T21:06:06+00:00,technology
,KBR : New Horizons with Rebecca Rickard,"(marketscreener.com) Share New Horizons with Rebecca Rickard Publish date Tue, 06/25/2024 - 12:00 Rebecca Rickard Communications and Marketing Manager - Integrated Solutions Americas Sustainable Technology Solutions ...https://www.marketscreener.com/quote/stock/KBR-INC-36548/news/KBR-New-Horizons-with-Rebecca-Rickard-47197853/?utm_medium=RSS&utm_content=20240625",https://www.marketscreener.com/quote/stock/KBR-INC-36548/news/KBR-New-Horizons-with-Rebecca-Rickard-47197853/?utm_medium=RSS&utm_content=20240625,4-traders,,general,en,us,2024-06-25T21:05:16+00:00,technology
,Aptar Named One of the World's Most Sustainable Companies 2024 by TIME,"(marketscreener.com) AptarGroup, Inc. , a global leader in drug and consumer product dosing, dispensing and protection technologies, today announced that it has been named one of the World&rsquo;s Most Sustainable Companies 2024 by TIME. Aptar is ranked 194 out of top 500 global companies evaluated by TIME and its partner Statista.This press release features...https://www.marketscreener.com/quote/stock/APTARGROUP-INC-11708/news/Aptar-Named-One-of-the-World-s-Most-Sustainable-Companies-2024-by-TIME-47195197/?utm_medium=RSS&utm_content=20240625",https://www.marketscreener.com/quote/stock/APTARGROUP-INC-11708/news/Aptar-Named-One-of-the-World-s-Most-Sustainable-Companies-2024-by-TIME-47195197/?utm_medium=RSS&utm_content=20240625,4-traders,,general,en,us,2024-06-25T21:01:05+00:00,technology
The Associated Press,GM brings in new CEO to steer troubled Cruise robotaxi service while Waymo ramps up in San Francisco,"General Motors on Tuesday named a veteran technology executive with roots in the video game industry to steer its troubled robotaxi service Cruise as it tries to recover from a gruesome collision that triggered the suspension of its California license. Marc Whitten, one of the key engineers behind the Xbox video game console, will take [&#8230;]",https://nationalpost.com/pmn/news-pmn/gm-brings-in-new-ceo-to-steer-troubled-cruise-robotaxi-service-while-waymo-ramps-up-in-san-francisco,nationalpost,,general,en,us,2024-06-25T20:58:23+00:00,technology
,Air Products Membrane Solutions Breaks Ground on $70 Million Expansion of its Missouri Manufacturing and Logistics Center,"(marketscreener.com) Expansion Driven by Growing Interest in Energy Transition Technologies&nbsp;in the Biogas, Aerospace and Marine Industries&nbsp;LEHIGH VALLEY, Pa., June 25, 2024 /PRNewswire/ -- Air Products , the global leader in the production of gas separation and purification membranes, today hosted a groundbreaking event at the site of a $70 million...https://www.marketscreener.com/quote/stock/AIR-PRODUCTS-CHEMICALS-IN-11666/news/Air-Products-Membrane-Solutions-Breaks-Ground-on-70-Million-Expansion-of-its-Missouri-Manufacturing-47191946/?utm_medium=RSS&utm_content=20240625",https://www.marketscreener.com/quote/stock/AIR-PRODUCTS-CHEMICALS-IN-11666/news/Air-Products-Membrane-Solutions-Breaks-Ground-on-70-Million-Expansion-of-its-Missouri-Manufacturing-47191946/?utm_medium=RSS&utm_content=20240625,4-traders,,general,en,us,2024-06-25T20:56:08+00:00,technology
Investing.com,"BTIG initiates Allegheny Technologies with Buy, $70 target","BTIG initiates Allegheny Technologies with Buy, $70 target",https://www.investing.com/news/company-news/btig-initiates-allegheny-technologies-with-buy-70-target-93CH-3496564,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/news/news_pile_108x81.jpg,business,en,us,2024-06-25T20:50:37+00:00,technology
,HEALWELL AI Announces Voting Results of 2024 Annual General Meeting of its Shareholders,"(marketscreener.com) HEALWELL AI Inc. , a healthcare technology company focused on AI and data science for preventative care, is pleased to announce the voting results from its annual general meeting of the shareholders of the Company held on June 25, 2024 . Shareholders holding shares entitled to exercise approximately 77.61% of the votes attributable to all of...https://www.marketscreener.com/quote/stock/HEALWELL-AI-INC-117317706/news/HEALWELL-AI-Announces-Voting-Results-of-2024-Annual-General-Meeting-of-its-Shareholders-47185159/?utm_medium=RSS&utm_content=20240625",https://www.marketscreener.com/quote/stock/HEALWELL-AI-INC-117317706/news/HEALWELL-AI-Announces-Voting-Results-of-2024-Annual-General-Meeting-of-its-Shareholders-47185159/?utm_medium=RSS&utm_content=20240625,4-traders,,general,en,us,2024-06-25T20:45:05+00:00,technology
,Rivian Automotive Shares Soar 33% After Hours on Volkswagen Partnership,"(marketscreener.com) By Josh Beckerman Rivian Automotive shares were up 33% to $15.86 in after-hours on Tuesday after Volkswagen Group announced a partnership with the electric vehicle maker. Volkswagen is making an initial investment of $1 billion in Rivian and the companies plan to establish a joint venture to, in part, develop vehicle software technology....https://www.marketscreener.com/quote/stock/VOLKSWAGEN-AG-436737/news/Rivian-Automotive-Shares-Soar-33-After-Hours-on-Volkswagen-Partnership-47183756/?utm_medium=RSS&utm_content=20240625",https://www.marketscreener.com/quote/stock/VOLKSWAGEN-AG-436737/news/Rivian-Automotive-Shares-Soar-33-After-Hours-on-Volkswagen-Partnership-47183756/?utm_medium=RSS&utm_content=20240625,4-traders,,general,en,us,2024-06-25T20:42:42+00:00,technology
