author,title,description,url,source,image,category,language,country,published_at,topic
John Stoehr,The cultivated naivete of the press corps,"We should talk about the cultivated naivete of the Washington press corps. We have discussed at length the makebelieve that animates so much of political reporters’ coverage of the 2024 presidential election, especially Donald Trump’s campaign. But we haven’t begun to discuss the kind of childlike wonder that characterizes them, as individuals. What is cultivated naivete? The first thing to say is once you see it, you can’t stop seeing it. It is everywhere you look in political journalism. The second thing to say is it’s the opposite of what you’d expect from reasonable and fully...",https://www.alternet.org/alternet-exclusives/press-corps/,alternet,https://www.alternet.org/media-library/image.jpg?id=52482113&width=980,general,en,us,2024-06-20T23:45:02+00:00,politics
Brian Fagioli,"Joe Biden implements Kaspersky ban ahead of debate with Donald Trump, citing national security concerns","In a preemptive move ahead of the upcoming presidential debate with Donald Trump (just a week away), the Biden administration has enforced a significant ban on Kaspersky Lab, Inc., prohibiting all transactions involving the company’s cybersecurity products by U.S. persons. This decision, enacted by the U.S. Department of Commerce, is a part of broader efforts to bolster national security, addressing concerns over potential vulnerabilities that foreign entities could exploit. The timing of the ban aligns strategically with the political calendar, setting the stage for national security to be a...",https://betanews.com/2024/06/20/biden-administration-kaspersky-ban-ahead-trump-debate-national-security/,betanews,,general,en,us,2024-06-20T23:43:21+00:00,politics
Holly Hinman,KESQ Voter Guide: Greg Wallis,Party: Republican Occupation: District Director for Assemblyman Chad Mayes Relevant Experience: Campaign manager for Brian Nestande for Congress Personal Information: Earned his B.A. in political science at California Lutheran University Married Website: https://ad47.asmrc.org/ Social Media Facebook Twitter Instagram Candidate's Priorities: REDUCE THE COST OF LIVING STOP RECKLESS GOVERNMENT SPENDING THAT CAUSES INFLATION PAY TEACHERS AThe post KESQ Voter Guide: Greg Wallis appeared first on KESQ.,https://kesq.com/voter-guide-2024/2024/06/20/kesq-voter-guide-greg-wallis/,kesq,,general,en,us,2024-06-20T23:18:56+00:00,politics
Maya Boddie,'You have got to be kidding me': Legal experts outraged over latest SCOTUS announcement,"Two months after the US Supreme Court heard Donald Trump lawyers argue for the former president's immunity against federal prosecution, the high court has yet to issue a ruling — and won't until at least next week. Politico's Josh Gerstein reported Wednesday via X (formerly Twitter), ""#SCOTUS announces Wednesday June 26 as expected day for release of additional opinion(s). (Tomorrow aka Friday June 21 was already announced.)""Several legal experts immediately slammed the majority conservative court's move. READ MORE: 'Political and traitorous decision': Experts outraged by SCOTUS taking Trump...",https://www.alternet.org/scotus-trump-immunity-legal-experts/,alternet,https://www.alternet.org/media-library/image.jpg?id=52482078&width=980,general,en,us,2024-06-20T23:00:02+00:00,politics
,Slovakia's prime minister expected to survive after shooting,Slovakian Prime Minister Robert Fico is expected to survive after being shot five times in what officials described as a politically motivated assassination attempt.,https://www.cnn.com/europe/live-news/robert-fico-slovakia-prime-minister-shooting-05-15-24/index.html,CNN Europe,https://cdn.cnn.com/cnnnext/dam/assets/240515114759-01b-shooting-incident-slovakia-051524-super-169.jpg,general,en,us,2024-06-20T22:20:21+00:00,politics
,Novak Djokovic makes political statement about Kosovo after first-round French Open win,Serbian tennis star Novak Djokovic left a political message on a TV camera lens at the French Open in response to violent clashes in Kosovo.,https://www.cnn.com/2023/05/30/tennis/novak-djokovic-french-open-kosovo-serbia-spt-intl/index.html,CNN Tennis,https://cdn.cnn.com/cnnnext/dam/assets/230530093505-01-novak-djokovic-french-open-052923-super-169.jpeg,sports,en,us,2024-06-20T22:15:42+00:00,politics
,Novak Djokovic stands by Kosovo comments at the French Open,Serbian tennis star Novak Djokovic has stood by his decision to send a political message about Kosovo at the French Open.,https://www.cnn.com/2023/06/01/tennis/novak-djokovic-french-open-kosovo-serbia-spt-intl/index.html,CNN Tennis,https://cdn.cnn.com/cnnnext/dam/assets/230601051122-01-novak-djokovic-053123-restricted-super-169.jpg,sports,en,us,2024-06-20T22:15:42+00:00,politics
,"Venezuela seeks arrest of Juan Guaido, US-based opposition leader","Venezuelan authorities on Thursday issued an arrest warrant for opposition leader and former interim president Juan Guaido, who dismissed the move as politically motivated.",https://www.cnn.com/2023/10/05/americas/venezuela-juan-guaido-arrest-warrant-intl-hnk/index.html,CNN Americas,https://cdn.cnn.com/cnnnext/dam/assets/231005213543-juan-guaido-file-100523-super-169.jpg,general,en,us,2024-06-20T22:15:10+00:00,politics
,UN Security Council approves sending foreign forces to Haiti,"The United Nations Security Council has greenlit the deployment of an armed multinational force to Haiti, as the Caribbean nation wrestles with rampant gang violence and political paralysis.",https://www.cnn.com/2023/10/02/americas/un-approves-haiti-military-mission-intl/index.html,CNN Americas,https://cdn.cnn.com/cnnnext/dam/assets/230802141549-01-haiti-unrest-042523-file-super-169.jpg,general,en,us,2024-06-20T22:15:10+00:00,politics
Andrew Sparrow,Rishi Sunak says he is ‘incredibly angry’ about betting allegations during BBC Question Time election special – UK politics live,"Prime minister says suspects must face ‘full force of law’ if found guilty; Labour, SNP and Lib Dem leaders speak during programmeThe next question comes from Linda, who says Davey’s antics during the election campaigns (fun photo opportunities, often involving him getting wet) haven’t looked prime-ministerial.Davey says he has been trying to grab attention.It was very difficult governing with the Conservatives. We couldn’t get everything we wanted …You either had to stay in and fight inside the government or leave. I think the easy choice for me would be to leave, vote against it...",https://www.theguardian.com/politics/live/2024/jun/20/bbc-question-time-leaders-debate-conservatives-labour-lib-dem-snp-latest-updates,The Guardian,https://i.guim.co.uk/img/media/03862447f730051c856f1e311ccebaeb43cf35ec/0_0_2560_1536/master/2560.jpg?width=140&quality=85&auto=format&fit=max&s=d9c7aeacea66e3a5e6987302e747c33e,general,en,gb,2024-06-20T22:12:30+00:00,politics
Business Wire,"Gwen Mills Elected President of UNITE HERE, First Woman to Lead the Union in its 130-Year History","Under Mills, UNITE HERE will double down on new union organizing, take on tough industrial campaigns, and expand political organizing program in key battleground states ahead of 2024 election NEW YORK &#8212; Today at UNITE HERE’s 2024 Constitutional Convention, Gwen Mills was elected as the international union&#8217;s new president, making her the first woman to [&#8230;]",https://financialpost.com/pmn/business-wire-news-releases-pmn/gwen-mills-elected-president-of-unite-here-first-woman-to-lead-the-union-in-its-130-year-history,business,,general,en,us,2024-06-20T22:11:39+00:00,politics
,After Putin's pact with Kim Jong Un that could see his troops fighting in Ukraine... will furious South Korean leaders send arms to Kyiv?,Furious political leaders in South Korea have threatened to send weapons to Ukraine in response to Vladimir Putin's latest manoeuvres.,https://www.dailymail.co.uk/news/article-13552873/After-Putins-pact-Kim-Jong-troops-fighting-Ukraine-furious-South-Korean-leaders-send-arms-Kyiv.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,mailonsunday,https://i.dailymail.co.uk/1s/2024/06/20/22/86390727-0-image-a-31_1718920761830.jpg,general,en,uk,2024-06-20T22:07:40+00:00,politics
,After Putin's pact with Kim Jong Un that could see his troops fighting in Ukraine... will furious South Korean leaders send arms to Kyiv?,Furious political leaders in South Korea have threatened to send weapons to Ukraine in response to Vladimir Putin's latest manoeuvres.,https://www.dailymail.co.uk/news/article-13552873/After-Putins-pact-Kim-Jong-troops-fighting-Ukraine-furious-South-Korean-leaders-send-arms-Kyiv.html?ns_mchannel=rss&ito=1490&ns_campaign=1490,dailymail,https://i.dailymail.co.uk/1s/2024/06/20/22/86390727-0-image-a-31_1718920761830.jpg,general,en,us,2024-06-20T22:07:40+00:00,politics
Chronicle Editor,Pan-Africanism birthed modern day SADC,"Ranga Mataire, Zimpapers Politics Hub INSPIRED by the success of Pan-Africanism that united black people across the globe to challenge colonial existence and the oppression, African leaders sought to create regional entities capable of promoting regional cooperation and integration. Africa’s new international relations thrust was best captured by the Organisation of African Unity’s (OAU) publication [&#8230;]",https://www.chronicle.co.zw/pan-africanism-birthed-modern-day-sadc/,The Chronicle,,general,en,gh,2024-06-20T22:04:50+00:00,politics
Sandile Motha,Impeached judge John Hlophe bounces back as MK chief whip,"Former Western Cape judge president John Mandlakayise Hlophe has been appointed the parliamentary chief whip of a political newcomer, the uMkhonto weSizwe (MK) party. Although the former president Jacob Zuma-led ANC splinter grouping did not immediately confirm whether Hlophe had been assigned to the key role in the national assembly, a party internal document reveals [&#8230;]",https://sundayworld.co.za/politics/impeached-judge-john-hlophe-bounces-back-as-mk-chief-whip/?utm_source=rss&utm_medium=rss&utm_campaign=impeached-judge-john-hlophe-bounces-back-as-mk-chief-whip,sundayworld,https://sundayworld.co.za/wp-content/uploads/2022/12/John-Hlophe-impeachment-JSC-scaled.jpg,general,en,za,2024-06-20T22:00:30+00:00,politics
Human Rights Watch,Attack on Kazakhstan Journalist in Ukraine,"Click to expand Image The scene of the shooting of Aidos Sadykov in Kyiv, Ukraine, June 18, 2024. © 2024 t.me/UA_National_Police (Berlin, June 21, 2024) – Ukrainian and Kazakh authorities should carry out an effective investigation into the shooting of an independent Kazakh journalist and former member of a Kazakhstan political opposition group in the Ukrainian capital, Kyiv, on June 18, 2024, Human Rights Watch said today.&nbsp;Based on media and police reports issued right after the shooting, an unidentified assailant shot Aidos Sadykov as he sat in his car near the apartment building...",https://www.hrw.org/news/2024/06/20/attack-kazakhstan-journalist-ukraine,Burma Today,,general,en,mm,2024-06-20T22:00:01+00:00,politics
Haleluya Hadero,TikTok accuses federal agency of 'political demagoguery' in legal challenge against potential US ban,TikTok on Thursday disclosed a letter the company sent to the government in April accusing the federal agency that once held the platform’s future in its hands of “political demagoguery.”,https://www.independent.co.uk/news/tiktok-ap-justice-department-biden-bytedance-b2566281.html,Independent,https://static.independent.co.uk/2024/06/18/22/TikTok_Complaint_07484.jpg?width=1200&auto=webp,general,en,gb,2024-06-20T21:56:02+00:00,politics
WTOP Staff,TikTok accuses federal agency of ‘political demagoguery’ in legal challenge against potential US ban,TikTok disclosed a letter Thursday that accused the Biden administration of engaging in “political demagoguery” during high-stakes negotiations between the&#8230;,https://wtop.com/national/2024/06/tiktok-accuses-federal-agency-of-political-demagoguery-in-legal-challenge-against-potential-us-ban/,wtop,https://wtop.com/wp-content/uploads/2024/06/TikTok_Complaint_07484-1024x683.jpg,general,en,us,2024-06-20T21:56:02+00:00,politics
WTOP Staff,New Louisiana law requiring classrooms to display Ten Commandments churns old political conflicts,NEW ORLEANS (AP) — A bill signed into law this week makes Louisiana the only state to require that the&#8230;,https://wtop.com/education/2024/06/louisianas-new-law-requiring-the-ten-commandments-in-classrooms-churns-old-political-conflicts/,wtop,https://wtop.com/wp-content/uploads/2024/06/Ten_Commandments_Politics_History_17180-1024x683.jpg,general,en,us,2024-06-20T21:55:49+00:00,politics
Matthew Medsger,"Forward Party makes its way into Massachusetts, files for political designation status","our political system in Massachusetts is broken. More than 60% of Massachusetts' registered voters choose not to affiliate as either Republicans or Democrats, and the Massachusetts GOP claims only 8% of registered voters,” former Lt. Gov. Kerry Healey said on Thursday.",https://www.bostonherald.com/2024/06/20/forward-party-makes-its-way-into-massachusetts-files-for-political-designation-status/,bostonherald,https://www.bostonherald.com/wp-content/uploads/2024/06/FORWARDsc002.jpg?w=1400px&strip=all,general,en,us,2024-06-20T21:48:57+00:00,politics
,'Teflon Mark' Rutte set to bring consensus-building skills from Dutch politics as next NATO chief,"Over the course of more than a dozen years at the top of Dutch politics, Mark Rutte got to know a thing or two about finding consensus among…",https://japantoday.com/category/world/%27teflon-mark%27-rutte-set-to-bring-consensus-building-skills-from-dutch-politics-as-next-nato-chief,japantoday,,general,en,us,2024-06-20T21:44:18+00:00,politics
Associated Press,TikTok alleges ‘political demagoguery’ in legal challenge against potential US ban,TikTok disclosed a letter that accused the Biden administration of engaging in “political demagoguery.”The post TikTok alleges &#8216;political demagoguery&#8217; in legal challenge against potential US ban appeared first on Maryland Daily Record.,https://thedailyrecord.com/2024/06/20/tiktok-alleges-political-demagoguery-in-legal-challenge-against-potential-us-ban/,thedailyrecord,,general,en,us,2024-06-20T21:34:12+00:00,politics
