author,title,description,url,source,image,category,language,country,published_at,topic
Crikey Readers,The complicated legacy of Julian Assange,"Plus: Dutton's nukes, Kean's record and the urgent need for political donation law reform.The post The complicated legacy of Julian Assange appeared first on Crikey.",https://www.crikey.com.au/2024/07/01/julian-assange-wikileaks-complicated-legacy/,crikey,,general,en,au,2024-06-30T23:28:50+00:00,politics
,Can A New Foundation Be Poured Before The Complete Collapse Of The International Order?,"In short, the spiritual, philosophical and political foundation has to be poured before a collapse occurs to change course when it does.",https://www.scoop.co.nz/stories/HL2407/S00001/can-a-new-foundation-be-poured-before-the-complete-collapse-of-the-international-order.htm,Scoop,,general,en,nz,2024-06-30T23:21:00+00:00,politics
Associated Press,"Bolivian president orchestrated a ‘self-coup,’ political rival Evo Morales claims",Former Bolivian President Evo Morales on Sunday accused his political ally-turned-rival President Luis Arce of deceiving the Bolivian people by staging a “self-coup” last week to earn political points.,https://nypost.com/2024/06/30/world-news/bolivian-president-orchestrated-a-self-coup-political-rival-evo-morales-claims/,Post,https://nypost.com/wp-content%2Fuploads%2Fsites%2F2%2F2024%2F06%2Fnewspress-collage-o2beteevd-1719786432080.jpg?quality%3D90%26strip%3Dall%261719772050,general,en,zm,2024-06-30T23:20:29+00:00,politics
peter,Remembering VP Dr Joshua Mqabuko Nkomo: A visionary leader of Zimbabwe,"Richard Muponde, Zimpapers Politics Hub BORN on June 7, 1917, veteran African nationalist, Dr Joshua Mqabuko Nkomo, died of prostate cancer on July 1, 1999 at the age of 82, and was buried at the National Heroes Acre in Harare. He is remembered for his vision on different aspects of the people of Zimbabwe. Youth [&#8230;]",https://www.chronicle.co.zw/remembering-vp-dr-joshua-mqabuko-nkomo-a-visionary-leader-of-zimbabwe-2/,The Chronicle,,general,en,gh,2024-06-30T22:22:08+00:00,politics
Chronicle Editor,Miss & Mr Rural Zim pageant kicks off journey to empower rural talent,"Mbulelo Mpofu, mbulelo.smpofu@gmail.com Ja’Dijo restaurant in Bulawayo was abuzz with excitement on Saturday as the Miss & Mr Rural Zimbabwe pageant held its media launch.  The event brought together esteemed guests, including Zanu-PF National Political Commissar  Munyaradzi Machacha; guest of honour — Minister of Environment, Climate, and Wildlife Sithembiso Nyoni; Nkayi Chief Mbusi Bekithemba Dakamela; Pedzisayi [&#8230;]",https://www.chronicle.co.zw/miss-mr-rural-zim-pageant-kicks-off-journey-to-empower-rural-talent/,The Chronicle,,general,en,gh,2024-06-30T22:04:35+00:00,politics
Matthew Medsger,"Bay State’s election chief concerned about election denial, money in politics",Secretary of the Commonwealth Bill Galvin said that he and other state election officials have shared concerns over emerging technology -- like deep fakes and AI -- and over the increasing number of voters and politicians who are calling the legitimacy of elections into question.,https://www.bostonherald.com/2024/06/30/bay-states-election-chief-concerned-about-election-denial-money-in-politics/,bostonherald,https://www.bostonherald.com/wp-content/uploads/2024/01/galvinms002.jpg?w=1400px&strip=all,general,en,us,2024-06-30T22:04:35+00:00,politics
,Former Prime Minister Theresa May stuns homeowner after leaving jolly Ring doorbell message out canvassing - days after David Cameron was caught doing the same thing,The outgoing Tory backbencher for Maidenhead was spotted politely encouraging residents living on a quiet street in Perth to vote hopeful Tory candidate Luke Graham.,https://www.dailymail.co.uk/news/article-13585965/former-prime-minister-theresa-ring-doorbell-message-david-cameron.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,Mail,https://i.dailymail.co.uk/1s/2024/06/30/22/86762975-0-image-a-38_1719784331311.jpg,general,en,gb,2024-06-30T22:00:52+00:00,politics
Amy Remeikis,Australia politics live: tax cuts to flow through to pay packets; NSW coercive control laws come into effect,"The stage-three tax cuts, reformulated in January, benefit all taxpayers. Follow the day’s news liveGet our morning and afternoon news emails, free app or daily news podcastFinance minister Katy Gallagher was asked what another interest rate increase would mean for households while speaking to ABC TV this morning:I don’t think it’s useful for me to speculate about a hypothetical situation or a decision taken by the independent Reserve Bank, but we know for the interest rate [increases] we’ve had to date they’ve had a huge impact on household budgets and they’re having a significant...",https://www.theguardian.com/australia-news/live/2024/jul/01/australia-politics-news-live-stage-three-tax-cuts-inflation-interest-rates-chalmers-labor-fatima-payman-nsw-coercive-control,The Guardian,https://i.guim.co.uk/img/media/01da1c23c6ff3ffa96a98c39c7f142a5e8f07d68/0_365_5472_3283/master/5472.jpg?width=140&quality=85&auto=format&fit=max&s=28578d4907c6767d86815cdfe7280c84,politics,en,au,2024-06-30T21:37:23+00:00,politics
Jan Vermeulen,Ramaphosa’s GNU cabinet — all the new ministers and deputies,President Cyril Ramaphosa announced that eleven political parties were represented in the government of national unity. Here is his entire cabinet and the political party they represent.,https://mybroadband.co.za/news/government/542693-ramaphosas-gnu-cabinet-all-the-new-ministers-and-deputies.html,mybroadband,,general,en,za,2024-06-30T21:35:03+00:00,politics
AP News,"Bolivian president orchestrated a ‘self-coup,’ political rival Evo Morales claims","Former Bolivian President Evo Morales has accused his political ally-turned-rival President Luis Arce of deceiving the Bolivian people by staging a “self-coup” last week. He claims it was to earn political points among the electorate. The claim marks a sharp downturn in an already fraught relationship. Morales was initially among the country’s most powerful voices to say that approximately 200 members of the military who marched on Bolivia’s government palace alongside armored vehicles on Wednesday had attempted a “coup d’état.” But on Sunday, Morales joined others who believe...",https://www.mymotherlode.com/news/latin/3384169/bolivian-president-orchestrated-a-self-coup-political-rival-evo-morales-claims.html,mymotherlode,,general,en,us,2024-06-30T21:11:07+00:00,politics
